"benchmark","version","application","file","line","function"
"spec2000","v1.3","183.equake","quake.c","461","main"
"spec2006","v1.1","400.perlbench","op.c","234","Perl_allocmy"
"spec2006","v1.1","400.perlbench","regcomp.c","4017","S_regclass"
"spec2006","v1.1","400.perlbench","doio.c","530","Perl_do_openn"
"mediabench","default","h264dec-lencod","mv-search.c","259","SetupLargerBlocks"
"libraries","default","lame","takehiro.c","669","noquant_count_bits"
"ALPBench","v1.0","Ray_trace","imageio.c","167","image_rgb24_from_rgb96f"
"spec2006","v1.1","445.gobmk","influence.c","277","accumulate_influence"
"GitApps","default","gap","vec8bit.c","1751","FuncADD_ROWVECTOR_VEC8BITS_3"
"libraries","default","libdeep","lodepng.c","5059","filterScanline"
"libraries","default","libpng","pngwtran.c","124","png_do_pack"
"ALPBench","v1.0","csuFaceIdEval_5.1","csuCommonMatrix.c","435","matrixCols"
"spec2006","v1.1","458.sjeng","attacks.c","177","is_attacked"
"cortexsuite","default","svd3","svd.c","293","svd"
"spec2000","v1.3","301.apsi","apsi.c","9269","radbg"
"libraries","default","silk","SKP_Silk_CNG.c","99","SKP_Silk_CNG"
"mediabench","default","mpeg4dec","h263.c","561","ff_mpeg4_init_direct_mv"
"libraries","default","daala","pvq.c","293","od_adapt_pvq_ctx_reset"
"polybench","4.1","stencils-adi","adi.c","31","init_array"
"mediabench","default","h264enc-lencod","rdopt.c","1625","SetCoeffAndReconstruction8x8"
"NPB","2.3-OpenACC-C","LU","lu.c","2037","pintgr"
"mediabench","default","h264enc-ldecod","image.c","390","find_snr"
"cortexsuite","default","sphinx","feat.c","345","feat_subvec_project"
"NPB","2.3-OpenACC-C","UA-SNU","setup.c","240","geom1"
"mediabench","default","rasta","lpccep.c","334","band_to_auto"
"libraries","default","libpng","png.c","4053","png_build_8bit_table"
"NPB","2.3-OpenACC-C","UA-SNU","transfer.c","546","transfb_cor_f"
"livermore","default","livermore","lloops.c","1070","kernels"
"spec2006","v1.1","445.gobmk","fuseki.c","72","openregion"
"mediabench","default","mpeg4enc","imgconvert.c","1166","shrink21"
"mediabench","default","rasta","noise_est.c","530","create_filt"
"opencv_kernels","default","default","thresh.c","394","getThreshVal_Triangle_uchar"
"spec2000","v1.3","171.swim","swim.c","655","calc3"
"spec2000","v1.3","254.gap","vecffe.c","1912","ProdFFEVecFFE"
"spec2000","v1.3","254.gap","scanner.c","1243","Pr"
"libraries","default","libpng","pngrtran.c","4156","png_do_encode_alpha"
"mediabench","default","mpeg2dec","recon.c","381","form_component_prediction"
"mediabench","default","h264enc-lencod","refbuf.c","59","UMVLine16Y_11"
"mediabench","default","h264dec-lencod","mv-search.c","281","SetupLargerBlocks"
"mediabench","default","mpeg4enc","mpegaudio.c","530","compute_bit_allocation"
"livermore","default","livermore","lloops.c","2061","init"
"spec2006","v1.1","401.bzip2","decompress.c","71","makeMaps_d"
"FreeBench","default","neural","neural.c","419","run"
"spec2000","v1.3","254.gap","permutat.c","1558","PowPP"
"NPB","2.3-OpenACC-C","UA-SNU","precond.c","52","setuppc"
"libraries","default","flac","lpc.c","857","FLAC_lpc_restore_signal"
"spec2000","v1.3","301.apsi","apsi.c","3513","dctdx"
"libraries","default","silk","SKP_Silk_residual_energy16_FIX.c","71","SKP_Silk_residual_energy16_covar_FIX"
"mediabench","default","gsm","short_term.c","138","Coefficients_40_159"
"cortexsuite","default","cnn","MNistDoc.c","812","BackpropagationThread"
"machinelearning","default","darknet","blas.c","213","softmax"
"spec2006","v1.1","401.bzip2","blocksort.c","884","mainSort"
"spec2000","v1.3","254.gap","finfield.c","1232","LtFFE"
"NPB","2.3-OpenACC-C","LU","lu.c","428","buts"
"spec2000","v1.3","256.bzip2","bzip2.c","1069","hbCreateDecodeTables"
"mediabench","default","h264dec-lencod","rdopt.c","3059","StoreNewMotionVectorsBlock8x8"
"NPB","2.3-OpenACC-C","SP","sp.c","1653","compute_rhs"
"cortexsuite","default","srr","SystemMatrices.c","307","CalculateA"
"cortexsuite","default","liblinear","linear.c","275","l2r_l2_svc_fun_Hv"
"TSVC","default","default","tsc.c","3575","s315"
"spec2006","v1.1","400.perlbench","regcomp.c","3950","S_regclass"
"netlib","default","cg","cg_rc.c","256","r8mat_mv"
"spec2006","v1.1","482.sphinx3","vector.c","89","vector_sum_norm"
"libraries","default","libpng","pngrtran.c","2596","png_do_read_invert_alpha"
"NPB","2.3-OpenACC-C","EP","ep.c","264","main"
"spec2000","v1.3","301.apsi","apsi.c","5287","trid"
"spec2000","v1.3","300.twolf","utemp.c","167","utemp"
"TSVC","default","default","tsc.c","2595","s256"
"spec2006","v1.1","464.h264ref","block.c","557","dct_luma_16x16"
"mediabench","default","mpeg4dec","mpegaudio.c","127","MPA_encode_init"
"spec2006","v1.1","456.hmmer","vectorops.c","232","FNorm"
"mediabench","default","mpeg4enc","mpegaudiodec.c","420","decode_init"
"NPB","2.3-OpenACC-C","UA-SNU","convect.c","83","convect"
"cortexsuite","default","liblinear","linear.c","245","l2r_l2_svc_fun_grad"
"libraries","default","silk","SKP_Silk_CNG.c","142","SKP_Silk_CNG"
"mediabench","default","mpeg4dec","dsputil.c","3783","dsputil_static_init"
"machinelearning","default","darknet","blas.c","149","axpy_cpu"
"livermore","default","livermore","lloops.c","2329","iqranf"
"NPB","2.3-OpenACC-C","DC","jobcntl.c","52","setLeadingOnes32"
"spec2006","v1.1","445.gobmk","board.c","1944","count_common_libs"
"spec2006","v1.1","456.hmmer","ucbqsort.c","80","specqsort"
"NPB","2.3-OpenACC-C","IS","is.c","232","randlc"
"NPB","2.3-OpenACC-C","UA-SNU","precond.c","392","setpcmo_pre"
"cortexsuite","default","srr","SystemMatrices.c","358","CalculateA"
"TSVC","default","default","tsc.c","82","set1d"
"TSVC","default","default","tsc.c","1515","s151s"
"mediabench","default","mpeg2enc","predict.c","436","pred_comp"
"spec2006","v1.1","400.perlbench","pp_sys.c","3424","Perl_pp_fttext"
"libraries","default","libdeep","lodepng.c","5056","filterScanline"
"mediabench","default","h264enc-lencod","rdopt.c","3475","assign_enc_picture_params"
"mediabench","default","h263enc","coder.c","806","InterpolateImage"
"cortexsuite","default","liblinear","linear.c","271","l2r_l2_svc_fun_Hv"
"spec2006","v1.1","458.sjeng","moves.c","1087","f_in_check"
"spec2006","v1.1","445.gobmk","board.c","2121","findstones"
"spec2006","v1.1","445.gobmk","worm.c","1291","ping_cave"
"ALPBench","v1.0","MPGdec","getpic.c","870","Saturate"
"FreeBench","default","neural","neural.c","720","runcont"
"spec2006","v1.1","400.perlbench","utf8.c","793","Perl_bytes_from_utf8"
"spec2000","v1.3","254.gap","eval.c","1188","CopyCopy"
"mediabench","default","h264dec-lencod","mv-search.c","372","SetupFastFullPelSearch"
"GitApps","default","gap","pperm.c","1699","FuncMEET_PPERMS"
"ALPBench","v1.0","MPGdec","recon.c","1446","form_component_prediction2"
"spec2006","v1.1","464.h264ref","intrarefresh.c","109","RandomIntra"
"libraries","default","daala","encode.c","808","od_img_plane_copy_pad"
"libraries","default","daala","intra.c","59","od_hv_intra_pred"
"scimark2","default","default","FFT.c","111","FFT_bitreverse"
"livermore","default","livermore","lloops.c","1786","endloop"
"spec2000","v1.3","300.twolf","findfeeds.c","558","findfeeds"
"Kernels","SERIAL","Sparse","sparse.c","236","main"
"mediabench","default","rasta","post_audspec.c","66","post_audspec"
"spec2000","v1.3","254.gap","string.c","510","PlainString"
"ASC-llnl","v1.0","crystalMk","Crystal_div.c","53","Crystal_div"
"cortexsuite","default","srr","SystemMatrices.c","290","CalculateA"
"mediabench","default","h263dec","store.c","441","conv420to422"
"spec2006","v1.1","433.milc","quark_stuff.c","118","make_path_table"
"spec2006","v1.1","435.gromacs","pbc.c","94","init_pbc"
"libraries","default","lame","quantize_pvt.c","365","iteration_init"
"libraries","default","libsndfile","aiff.c","1865","uint2tenbytefloat"
"NPB","2.3-OpenACC-C","SP","sp.c","1014","lhsy"
"mediabench","default","h264enc-lencod","block.c","1109","dct_luma"
"GitApps","default","gap","permutat.c","3405","FuncSmallestGeneratorPerm"
"spec2006","v1.1","445.gobmk","owl.c","4414","owl_lively"
"mediabench","default","h264enc-lencod","block.c","633","dct_luma_16x16"
"GitApps","default","gap","system.c","1499","SySetGapRootPath"
"NPB","2.3-OpenACC-C","LU","lu.c","689","erhs"
"spec2000","v1.3","256.bzip2","bzip2.c","1253","generateMTFValues"
"Kernels","SERIAL","Branch","func.c","11364","func26"
"spec2000","v1.3","301.apsi","apsi.c","7722","topo"
"NPB","2.3-OpenACC-C","SP","sp.c","2309","x_solve"
"NPB","2.3-OpenACC-C","SP","sp.c","2675","y_solve"
"mediabench","default","h264dec-ldecod","macroblock.c","367","interpret_mb_mode_B"
"mediabench","default","h264dec-lencod","rdopt.c","3075","StoreNewMotionVectorsBlock8x8"
"spec2006","v1.1","400.perlbench","regcomp.c","4061","S_regclass"
"mediabench","default","mpeg4dec","mpegaudio.c","130","MPA_encode_init"
"GitApps","default","gap","vector.c","211","SumVectorVector"
"spec2006","v1.1","482.sphinx3","new_fe.c","310","fe_end_utt"
"polybench","4.1","linear-algebra-kernels-atax","atax.c","76","kernel_atax"
"NPB","2.3-OpenACC-C","UA-SNU","diffuse.c","153","diffusion"
"mediabench","default","h264dec-lencod","block.c","695","dct_luma_16x16"
"NPB","2.3-OpenACC-C","UA-SNU","transfer.c","335","transfb"
"mediabench","default","mpeg4dec","mpegaudio.c","488","psycho_acoustic_model"
"cortexsuite","default","svd3","svd.c","158","svd"
"NPB","2.3-OpenACC-C","BT","bt.c","2171","compute_rhs"
"TSVC","default","default","tsc.c","4828","s4112"
"libraries","default","libsndfile","xi.c","363","xi_read_header"
"mediabench","default","h264enc-ldecod","ldecod.c","883","init_global_buffers"
"FreeBench","default","fourinarow","fourinarow.c","329","value"
"cortexsuite","default","liblinear","linear.c","221","l2r_l2_svc_fun_fun"
"mediabench","default","h264dec-ldecod","image.c","390","find_snr"
"netlib","default","cg","cg_rc.c","153","cg_rc"
"spec2006","v1.1","464.h264ref","q_offsets.c","367","CalculateOffsetParam"
"spec2000","v1.3","183.equake","quake.c","452","main"
"mediabench","default","rasta","fft.c","354","FORD2"
"spec2000","v1.3","253.perlbmk","md5c.c","349","MD5_memset"
"ALPBench","v1.0","csuFaceIdEval_5.1","csuCommonMatrix.c","98","makeIdentityMatrix"
"spec2006","v1.1","464.h264ref","lencod.c","1201","report"
"spec2006","v1.1","458.sjeng","moves.c","829","f_in_check"
"libraries","default","flac","lpc.c","892","FLAC_lpc_restore_signal"
"scimark2","default","default","SOR.c","30","SOR_execute"
"netlib","default","jacobi","jacobi_eigenvalue.c","208","jacobi_eigenvalue"
"spec2006","v1.1","456.hmmer","vectorops.c","188","FArgMax"
"spec2006","v1.1","433.milc","quark_stuff.c","463","load_longlinks"
"spec2006","v1.1","445.gobmk","optics.c","352","compute_primary_domains"
"NPB","2.3-OpenACC-C","BT","bt.c","315","exact_rhs"
"spec2006","v1.1","401.bzip2","blocksort.c","314","fallbackSort"
"spec2006","v1.1","445.gobmk","owl.c","4721","eat_lunch_escape_bonus"
"mediabench","default","mpeg4dec","msmpeg4.c","1060","init_h263_dc_for_msmpeg4"
"polybench","4.1","linear-algebra-kernels-2mm","2mm.c","47","init_array"
"NPB","2.3-OpenACC-C","BT","bt.c","684","initialize"
"FreeBench","default","pifft","pifft.c","645","mp_unsgn_imul"
"spec2006","v1.1","435.gromacs","sim_util.c","449","do_shakefirst"
"spec2000","v1.3","256.bzip2","bzip2.c","1015","hbMakeCodeLengths"
"mediabench","default","mpeg2enc","transfrm.c","206","sub_pred"
"ALPBench","v1.0","csuFaceIdEval_5.1","csuBayesianTrain.c","353","makeDifferenceImages"
"spec2006","v1.1","400.perlbench","regcomp.c","3905","S_regclass"
"libraries","default","twolame","crc.c","41","crc_update"
"spec2000","v1.3","164.gzip","trees.c","499","gen_bitlen"
"spec2006","v1.1","482.sphinx3","new_fe_sp.c","511","fe_create_2d"
"Kernels","SERIAL","Branch","func.c","30852","func38"
"livermore","default","livermore","lloops.c","971","kernels"
"Kernels","SERIAL","Branch","func.c","8930","func5"
"Kernels","SERIAL","DGEMM","dgemm.c","126","main"
"mediabench","default","rasta","fft.c","121","fft_pow"
"spec2006","v1.1","445.gobmk","surround.c","221","compute_surroundings"
"libraries","default","silk","SKP_Silk_burg_modified.c","200","SKP_Silk_burg_modified"
"mediabench","default","h264enc-lencod","block.c","934","dct_luma"
"spec2006","v1.1","458.sjeng","attacks.c","193","is_attacked"
"mediabench","default","h264dec-lencod","mv-search.c","262","SetupLargerBlocks"
"libraries","default","silk","SKP_Silk_PLC.c","129","SKP_Silk_PLC_update"
"netlib","default","whetstone","whetstone.c","216","main"
"spec2006","v1.1","401.bzip2","blocksort.c","291","fallbackSort"
"mediabench","default","h263enc","coder.c","748","ReconImage"
"ALPBench","v1.0","csuFaceIdEval_5.1","csuSubspaceCVEigen.c","279","cvJacobiEigens_64d"
"TSVC","default","default","tsc.c","2687","s261"
"GitApps","default","gap","string.c","1308","PosString"
"spec2006","v1.1","400.perlbench","regcomp.c","640","S_cl_or"
"GitApps","default","gap","trans.c","64","ResizeInitTmpTrans"
"mediabench","default","h264dec-lencod","rdopt.c","2968","RestoreMVBlock8x8"
"NPB","2.3-OpenACC-C","UA-SNU","mason.c","1578","mor_edge"
"polybench","4.1","linear-algebra-blas-syr2k","syr2k.c","37","init_array"
"spec2000","v1.3","301.apsi","apsi.c","3712","dctdy"
"NPB","2.3-OpenACC-C","BT","bt.c","1771","compute_rhs"
"spec2000","v1.3","254.gap","vecffe.c","2016","ProdVecFFEFFE"
"spec2000","v1.3","254.gap","integer.c","1288","PrInteger"
"GitApps","default","mozjpeg","jccoefct.c","332","compress_first_pass"
"spec2000","v1.3","255.vortex","bmtobj.c","681","Part_DisConnect"
"mediabench","default","h264enc-lencod","lencod.c","1124","report"
"cortexsuite","default","srr","SRREngine.c","54","MatSub"
"spec2006","v1.1","458.sjeng","moves.c","400","check_legal"
"libraries","default","silk","SKP_Silk_sort.c","101","SKP_Silk_insertion_sort_decreasing_int16"
"mediabench","default","mpeg2dec","mpeg2dec.c","165","Initialize_Decoder"
"libraries","default","lame","quantize_pvt.c","468","on_pe"
"TSVC","default","default","tsc.c","2386","s1251"
"mediabench","default","h264dec-lencod","leaky_bucket.c","227","calc_buffer"
"GitApps","default","gap","permutat.c","3000","FuncCycleStructurePerm"
"spec2006","v1.1","435.gromacs","init_sh.c","70","init_shells"
"FreeBench","default","pifft","pifft.c","662","mp_unsgn_imul"
"mediabench","default","mpeg4dec","ac3enc.c","610","encode_exp"
"libraries","default","daala","dering.c","72","od_dir_find8"
"spec2006","v1.1","464.h264ref","rdopt.c","1333","SetModesAndRefframeForBlocks"
"polybench","4.1","linear-algebra-kernels-2mm","2mm.c","44","init_array"
"spec2000","v1.3","175.vpr","place.c","2595","check_place"
"ALPBench","v1.0","csuFaceIdEval_5.1","csuSubspaceCVEigen.c","283","cvJacobiEigens_64d"
"mediabench","default","h264enc-lencod","mv-search.c","255","SetupLargerBlocks"
"spec2000","v1.3","183.equake","quake.c","1504","mem_init"
"mediabench","default","h264enc-lencod","mv-search.c","1217","SATD8X8"
"spec2006","v1.1","400.perlbench","regcomp.c","3827","S_regclass"
"NPB","2.3-OpenACC-C","UA-SNU","utils.c","56","r_init"
"spec2006","v1.1","458.sjeng","moves.c","405","check_legal"
"spec2006","v1.1","435.gromacs","tables.c","149","init_table"
"spec2006","v1.1","464.h264ref","mv-search.c","259","SetupLargerBlocks"
"GitApps","default","gap","sysfiles.c","3186","syFgets"
"libraries","default","flac","window.c","225","FLAC_window_partial_tukey"
"spec2006","v1.1","458.sjeng","eval.c","343","initialize_eval"
"mediabench","default","cjpeg","jquant2.c","899","fill_inverse_cmap"
"libraries","default","libsndfile","test_endswap.c","63","test_endswap_short"
"spec2006","v1.1","400.perlbench","pp_pack.c","1116","S_unpack_rec"
"spec2000","v1.3","254.gap","permutat.c","519","QuoPP"
"mediabench","default","mpeg4enc","ac3enc.c","119","kbd_window_init"
"mediabench","default","h264dec-lencod","block.c","1057","dct_luma"
"GitApps","default","gap","vec8bit.c","4821","MakeShiftedVecs"
"GitApps","default","gap","permutat.c","3422","FuncSmallestGeneratorPerm"
"mediabench","default","rasta","post_audspec.c","117","post_audspec"
"mediabench","default","h264enc-lencod","mv-search.c","258","SetupLargerBlocks"
"NPB","2.3-OpenACC-C","CG","cg.c","719","sparse"
"spec2000","v1.3","197.parser","idiom.c","58","numberfy"
"cortexsuite","default","sphinx","fe_sigproc.c","364","fe_build_melfilters"
"spec2000","v1.3","254.gap","permutat.c","1564","PowPP"
"spec2000","v1.3","254.gap","scanner.c","1146","PutChr"
"spec2000","v1.3","256.bzip2","bzip2.c","1076","hbCreateDecodeTables"
"libraries","default","daala","dering.c","271","od_dering"
"spec2000","v1.3","164.gzip","inflate.c","341","huft_build"
"netlib","default","linpack","newlinpack.c","192","matgen"
"Kernels","SERIAL","Branch","func.c","11362","func26"
"spec2000","v1.3","254.gap","integer.c","582","DiffInt"
"TSVC","default","default","tsc.c","4714","s471"
"NPB","2.3-OpenACC-C","UA-SNU","diffuse.c","212","laplacian"
"libraries","default","daala","dct.c","8539","check_bias"
"machinelearning","default","darknet","gemm.c","149","gemm_cpu"
"netlib","default","linpack","newlinpack.c","194","matgen"
"libraries","default","daala","logging.c","95","od_log_init"
"mediabench","default","h264dec-lencod","block.c","934","dct_luma"
"mediabench","default","gsm","lpc.c","82","Autocorrelation"
"NPB","2.3-OpenACC-C","BT","bt.c","2053","compute_rhs"
"mediabench","default","mpeg4dec","mpegaudiodec.c","248","int_pow_init"
"mediabench","default","h264enc-lencod","mode_decision.c","637","submacroblock_mode_decision"
"mediabench","default","h264dec-lencod","fmo.c","230","FmoInit"
"Kernels","SERIAL","Synch_p2p","p2p.c","117","main"
"livermore","default","livermore","lloops.c","1905","endloop"
"libraries","default","silk","SKP_Silk_NLSF2A.c","148","SKP_Silk_NLSF2A"
"libraries","default","daala","state.c","1229","od_ref_buf_to_coeff"
"spec2006","v1.1","435.gromacs","clincs.c","225","clincs"
"TSVC","default","default","tsc.c","2248","s243"
"spec2006","v1.1","401.bzip2","huffman.c","226","BZ2_hbCreateDecodeTables"
"spec2006","v1.1","458.sjeng","neval.c","212","bishop_mobility"
"libraries","default","flac","window.c","261","FLAC_window_punchout_tukey"
"spec2000","v1.3","175.vpr","rr_graph.c","1039","alloc_and_load_clb_pin_to_tracks"
"libraries","default","silk","SKP_Silk_LPC_inv_pred_gain.c","147","SKP_Silk_LPC_inverse_pred_gain_Q24"
"GitApps","default","gap","string.c","1842","FuncRemoveCharacters"
"TSVC","default","default","tsc.c","2925","s277"
"spec2006","v1.1","482.sphinx3","mdef.c","708","mdef_init"
"spec2006","v1.1","445.gobmk","board.c","404","clear_board"
"spec2000","v1.3","301.apsi","apsi.c","9259","radbg"
"TSVC","default","default","tsc.c","1884","s212"
"TSVC","default","default","tsc.c","1311","s125"
"mediabench","default","mpeg4enc","mpegaudio.c","301","idct32"
"cortexsuite","default","pca","pca.c","297","corcol"
"spec2000","v1.3","254.gap","set.c","1053","FunRemoveSet"
"spec2006","v1.1","435.gromacs","nsgrid.c","63","init_grid"
"libraries","default","twolame","encode.c","828","init_bit_allocation"
"ALPBench","v1.0","csuFaceIdEval_5.1","csuEBGMUtil.c","148","extractJet"
"mediabench","default","h264dec-ldecod","mbuffer.c","3482","compute_colocated"
"libraries","default","libpng","pngrtran.c","3999","png_do_gamma"
"mediabench","default","h264dec-lencod","mv-search.c","272","SetupLargerBlocks"
"spec2000","v1.3","183.equake","quake.c","916","vv12x12"
"mediabench","default","h264dec-lencod","image.c","1580","UnifiedOneForthPix"
"cortexsuite","default","sphinx","fe_sigproc.c","657","fe_create_twiddle"
"spec2000","v1.3","254.gap","integer.c","591","DiffInt"
"ALPBench","v1.0","csuFaceIdEval_5.1","csuSubspaceFisher.c","43","subtractClassMean"
"spec2000","v1.3","256.bzip2","bzip2.c","1519","sendMTFValues"
"netlib","default","cg","cg_rc.c","167","cg_rc"
"libraries","default","libsndfile","alac.c","687","alac_write_i"
"mediabench","default","h264dec-lencod","rdopt.c","2954","RestoreMVBlock8x8"
"mediabench","default","h264enc-ldecod","nal.c","102","EBSPtoRBSP"
"spec2000","v1.3","301.apsi","apsi.c","318","MAIN"
"spec2000","v1.3","171.swim","swim.c","349","inital"
"TSVC","default","default","tsc.c","5337","vdotr"
"spec2006","v1.1","400.perlbench","op.c","2682","Perl_pmtrans"
"ASC-llnl","v1.0","crystalMk","Crystal_Cholesky.c","29","Crystal_Cholesky"
"spec2000","v1.3","186.crafty","init.c","1356","InitializeZeroMasks"
"spec2006","v1.1","445.gobmk","fuseki.c","89","set_symmetries"
"Kernels","SERIAL","Branch","func.c","5678","func3"
"TSVC","default","default","tsc.c","1180","s121"
"spec2000","v1.3","254.gap","vecffe.c","911","IsXTypeMatFFE"
"TSVC","default","default","tsc.c","2330","s2244"
"spec2000","v1.3","300.twolf","utemp.c","67","utemp"
"GitApps","default","mozjpeg","jccolor.c","448","grayscale_convert"
"libraries","default","daala","encode.c","2768","od_encode_coefficients"
"machinelearning","default","darknet","dropout_layer.c","54","backward_dropout_layer"
"spec2000","v1.3","175.vpr","place.c","2516","alloc_and_load_for_fast_cost_update"
"spec2000","v1.3","256.bzip2","bzip2.c","1071","hbCreateDecodeTables"
"libraries","default","silk","SKP_Silk_sort.c","50","SKP_Silk_insertion_sort_increasing"
"spec2000","v1.3","256.bzip2","bzip2.c","1487","sendMTFValues"
"libraries","default","silk","SKP_Silk_solve_LS_FIX.c","139","SKP_Silk_LDL_factorize_FIX"
"spec2000","v1.3","254.gap","idents.c","267","FindRecname"
"GitApps","default","gap","sysfiles.c","1782","SyFputs"
"GitApps","default","gap","pperm.c","1709","FuncMEET_PPERMS"
"spec2000","v1.3","255.vortex","testobj.c","372","Draw701"
"Fhourstones-3.1","default","default","SearchGame.c","129","ab"
"NPB","2.3-OpenACC-C","UA-SNU","setup.c","152","coef"
"TSVC","default","default","tsc.c","3824","s3111"
"machinelearning","default","darknet","image.c","542","save_image_png"
"cortexsuite","default","rbm","twister.c","118","genrand_int32"
